Time,Susceptible,Exposed,Infected,Recovered,Dead
1.1333194649421119,0,57,32,11,0
1.1434072379885356,0,57,31,12,0
1.1451512688071837,0,56,32,12,0
1.1486825783791628,0,56,31,13,0
1.177098467672173,0,56,30,14,0
1.190748102040945,0,55,31,14,0
1.2021991301156671,0,54,32,14,0
1.2150708568625959,0,53,33,14,0
1.218756747435005,0,52,34,14,0
1.2255981558958917,0,51,35,14,0
1.2340490060052263,0,50,36,14,0
1.252108667849638,0,50,35,15,0
1.2595411017447478,0,50,34,16,0
1.2706475077650143,0,50,33,17,0
1.3100740677721752,0,50,32,18,0
1.3118349510345069,0,49,33,18,0
1.3209520354964654,0,49,32,19,0
1.3211827967826326,0,49,31,20,0
1.3266610726305899,0,48,32,20,0
1.3340662339084641,0,48,31,21,0
1.342190927334398,0,47,32,21,0
1.365942471703639,0,47,31,22,0
1.3689216385523857,0,46,32,22,0
1.3699157019277755,0,46,31,23,0
1.4259601127366082,0,45,32,23,0
1.4354328030277343,0,44,33,23,0
1.4475187416349247,0,43,34,23,0
1.449114853608764,0,43,33,24,0
1.451933092486916,0,43,32,25,0
1.4659194966998734,0,43,31,26,0
1.4772271104296373,0,43,30,27,0
1.4886922130282962,0,42,31,27,0
1.5138172966675651,0,42,30,28,0
1.515003514594989,0,42,29,29,0
1.5485187711319266,0,41,30,29,0
1.555823314116362,0,41,29,30,0
1.5584257410676292,0,41,28,31,0
1.5881320180069225,0,41,27,32,0
1.5883224480828644,0,40,28,32,0
1.5998605400558759,0,39,29,32,0
1.606673587644426,0,38,30,32,0
1.6641314410632126,0,38,29,33,0
1.6795698205110565,0,38,28,34,0
1.6891514622262103,0,37,29,34,0
1.6909957391562622,0,36,30,34,0
1.707022681709755,0,36,29,35,0
1.718256658236625,0,35,30,35,0
1.7377230200281921,0,34,31,35,0
1.7398656040583222,0,34,30,36,0
1.7402395044519017,0,34,29,37,0
1.7413366481500268,0,34,28,38,0
1.7419213087235796,0,34,27,39,0
1.776584744961651,0,34,26,40,0
1.7790422093797569,0,33,27,40,0
1.7876097079168944,0,32,28,40,0
1.7992192842289343,0,32,27,41,0
1.853400357967586,0,31,28,41,0
1.8539334458755738,0,31,27,42,0
1.857013036776615,0,30,28,42,0
1.86477635283314,0,30,27,43,0
1.8738738333290335,0,29,28,43,0
1.9076009241475125,0,28,29,43,0
1.9101487306608038,0,28,28,44,0
1.9101615403221603,0,28,27,45,0
1.9150039728951558,0,27,28,45,0
1.915254819052047,0,26,29,45,0
1.9224645563181786,0,26,28,46,0
1.934611094921858,0,25,29,46,0
1.9568012935795522,0,24,30,46,0
1.9958666476252958,0,24,29,47,0
2.000501281770249,0,23,30,47,0
2.0346872556647884,0,23,29,48,0
2.045686001087212,0,23,28,49,0
2.053151158744247,0,23,27,50,0
2.0755400336908205,0,22,28,50,0
2.0760506432732715,0,22,27,51,0
2.077378553768045,0,21,28,51,0
2.0831227665520644,0,20,29,51,0
2.1215877381007986,0,20,28,52,0
2.187095703189389,0,20,27,53,0
2.194319083060393,0,20,26,54,0
2.239774501937991,0,20,25,55,0
2.243900062917432,0,20,24,56,0
2.273562863187977,0,20,23,57,0
2.3912607311104197,0,20,22,58,0
2.403690046360685,0,19,23,58,0
2.433459724395299,0,18,24,58,0
2.478298668251173,0,18,23,59,0
2.502866296651742,0,18,22,60,0
2.5091208627165598,0,17,23,60,0
2.5314878027330314,0,16,24,60,0
2.546531417067618,0,16,23,61,0
2.5884549697120045,0,16,22,62,0
2.593848627270462,0,15,23,62,0
2.6320938989991793,0,15,22,63,0
2.6488160166879577,0,14,23,63,0
2.6676657399399213,0,13,24,63,0
2.6768776859328027,0,12,25,63,0
2.7081587779788086,0,12,24,64,0
2.7118571941257925,0,12,23,65,0
2.727231781501273,0,12,22,66,0
2.7713993185626515,0,12,21,67,0
2.7870354255435137,0,11,22,67,0
2.8074945697060008,0,11,21,68,0
2.81394149346969,0,11,20,69,0
2.833387358289067,0,10,21,69,0
2.869469290852148,0,9,22,69,0
2.8794487852015926,0,9,21,70,0
2.942295795386824,0,8,22,70,0
2.955194029909463,0,7,23,70,0
2.956274112518751,0,6,24,70,0
2.9642740959987273,0,5,25,70,0
2.984100184226077,0,5,24,71,0
2.9846314068836257,0,4,25,71,0
3.0643949688478345,0,4,24,72,0
3.0755171362880187,0,4,23,73,0
3.0774953244018817,0,4,22,74,0
3.104089613240226,0,4,21,75,0
3.141102629104801,0,4,20,76,0
3.1733146839563036,0,4,19,77,0
3.3282691918642646,0,4,18,78,0
3.35193794240384,0,4,17,79,0
3.3809556638284297,0,3,18,79,0
3.510787003787203,0,3,17,80,0
3.5432094930297806,0,3,16,81,0
3.5628878195310443,0,3,15,82,0
3.6100035034862974,0,3,14,83,0
3.7040638452710466,0,3,13,84,0
3.75226280891601,0,3,12,85,0
3.77082554312549,0,3,11,86,0
3.927178494161126,0,3,10,87,0
3.9922516957021705,0,3,9,88,0
4.033450750240341,0,2,10,88,0
4.059767761532214,0,2,9,89,0
4.169009766712257,0,2,8,90,0
4.170963670438809,0,1,9,90,0
4.406924778844951,0,1,8,91,0
4.410667404369427,0,0,9,91,0
4.428452711627692,0,0,8,92,0
4.4363393810842355,0,0,7,93,0
4.5452514025653175,0,0,6,94,0
4.6497605176960235,0,0,5,95,0
4.758197966943125,0,0,4,96,0
5.08628488007284,0,0,3,97,0
6.076055384132467,0,0,2,98,0
7.11665499123397,0,0,1,99,0
8.143971357253108,0,0,0,100,0
